name;collection;age;pieces;rating;price;discount
Daily Bugle;Marvel;18+;3789;4..8;$349.99;0
Avengers Tower;Marvel;18+;5201;3..9;$499.99;0
Iron Spider-Man;Marvel;10+;91;4..9;$9.99;0
The Avengers Assemble: Age of Ultron;Marvel;10+;613;5..0;$99.99;0
Wolverine's Adamantium Claws;Marvel;18+;596;5..0;$69.99;0
Infinity Gauntlet;Marvel;18+;590;4..6;$79.99;0
Dancing Groot;Marvel;10+;459;4..9;$44.99;0
Spider-Man Final Battle;Marvel;10+;900;4..7;$109.99;0
War Machine Mech Armor;Marvel;6+;154;4..8;$14.99;0
The Avengers Quinjet;Marvel;9+;795;5..0;$99.99;0
X-Men X-Jet;Marvel;8+;359;2..0;$84.99;0
Sanctum Sanctorum;Marvel;18+;2708;4..4;$249.99;0
The Avengers vs. The Leviathan;Marvel;7+;347;4..9;$49.99;0
Star-Lord's Helmet;Marvel;18+;602;4..7;$79.99;0
Venomized Groot;Marvel;10+;630;4..6;$49.99;0
Spider-Man vs. Sandman: Final Battle;Marvel;10+;347;4..7;$37.99;0
Carnage Key Chain;Marvel;6+;;5..0;$5.99;40% OFF
Black Widow & Captain America Motorcycles;Marvel;6+;130;4..5;$15.99;0
